film_title,release_year,imdb_rating,vote_count,duration_min,genre,is_top_100
12 Angry Men,1957,9.0,1213.5,130.0,Crime|Drama,1
16 December (film),2002,6.9,1091.0,158.0,Action|Thriller,0
1920 (film),2008,6.4,2588.0,138.0,Horror|Mystery|Romance,0
1920: London,2016,4.1,1373.0,120.0,Horror|Mystery,0
1920: The Evil Returns,2012,4.8,1587.0,124.0,Drama|Horror|Romance,0
1971 (2007 film),2007,7.9,1121.0,160.0,Action|Drama|War,0
2 States (2014 film),2014,6.9,22060.0,149.0,Comedy|Drama|Romance,0
2001: A Space Odyssey,1968,8.3,1213.5,130.0,Adventure|Sci-Fi,1
22 Yards,2019,5.3,124.0,126.0,Sport,0
23rd March 1931: Shaheed,2002,5.0,570.0,188.0,Biography|Drama|History,0
3 A.M. (2014 film),2014,5.4,488.0,103.0,Horror|Romance,0
3 Deewarein,2003,7.9,2029.0,115.0,Crime|Drama,0
3 Idiots,2009,8.4,310481.0,170.0,Comedy|Drama,1
3 Ninjas: High Noon at Mega Mountain,1998,2.9,12000.0,93.0,Action|Adventure|Comedy,0
3 Storeys,2018,7.1,288.0,100.0,Drama,0
31st October (film),2015,5.9,205.0,109.0,Action|Drama|History,0
36 China Town,2006,5.6,3862.0,140.0,Comedy|Mystery|Thriller,0
365 Days,2020,3.3,96000.0,114.0,Drama|Romance,0
365 Days: This Day,2022,2.6,23000.0,111.0,Drama|Romance,0
3G (film),2013,3.6,1064.0,125.0,Horror|Sci-Fi|Thriller,0
404 (film),2011,7.2,1793.0,121.0,Drama|Mystery|Thriller,0
5 Weddings,2018,3.2,316.0,90.0,Comedy|Drama|Romance,0
68 Pages,2007,6.4,25.0,92.0,Drama,0
7 Hours to Go,2016,5.7,357.0,115.0,Crime|Thriller,0
7 Khoon Maaf,2011,6.1,5059.0,137.0,Drama|Mystery|Thriller,0
7½ Phere,2005,5.4,232.0,136.0,Comedy|Drama,0
88 Antop Hill,2003,4.6,59.0,119.0,Mystery|Thriller,0
99 (2009 film),2009,7.3,2521.0,135.0,Comedy|Crime|Drama,0
99.9 FM (film),2005,4.8,36.0,90.0,Crime|Drama,0
?: A Question Mark,2012,5.5,285.0,82.0,Horror|Mystery|Thriller,0
A Decent Arrangement,2011,5.7,220.0,96.0,Comedy|Drama,0
A Flat (film),2010,4.6,191.0,103.0,Drama|Horror|Romance,0
A Flying Jatt,2016,3.2,3165.0,151.0,Action|Adventure|Comedy,0
A Gentleman,2017,6.3,4400.0,145.0,Action|Comedy,0
ABCD 2,2015,5.5,4750.0,154.0,Biography|Drama|Music,0
Aa Dekhen Zara,2009,5.0,812.0,117.0,Action|Sci-Fi|Thriller,0
Aa Gaya Hero,2017,2.9,304.0,123.0,Action,0
Aabra Ka Daabra,2004,2.3,204.0,144.0,Fantasy,0
Aag (2007 film),2007,1.7,6421.0,171.0,Action|Adventure|Comedy,0
Aagey Se Right,2009,5.1,354.0,117.0,Comedy|Crime|Drama,0
Aaj Ka Andha Kanoon,2003,3.3,14.0,46.0,Action,0
Aaja Nachle,2007,6.3,2693.0,137.0,Drama|Family|Music,0
Aakhari Decision,2010,6.1,66.0,130.0,Action|Drama|Thriller,0
Aakrosh (2010 film),2010,7.0,2987.0,115.0,Action|Crime|Thriller,0
Aalaap (film),2012,5.8,23.0,116.0,Sci-Fi,0
Aalavandhan,2001,7.1,1746.0,177.0,Action|Thriller,0
Aamdani Atthanni Kharcha Rupaiya,2001,4.7,1026.0,150.0,Comedy|Drama|Family,0
Aan: Men at Work,2004,5.7,2626.0,149.0,Action|Crime|Drama,0
Aanch,2003,6.1,98.0,160.0,Drama,0
Aankhen (2002 film),2002,7.4,11499.0,165.0,Comedy|Crime|Drama,0
Aap Kaa Surroor,2007,2.1,1548.0,127.0,Drama|Romance|Thriller,0
Aap Ki Khatir (2006 film),2006,3.5,781.0,122.0,Comedy|Romance,0
Aap Mujhe Achche Lagne Lage,2002,3.1,2122.0,180.0,Action|Drama|Romance,0
Aapko Pehle Bhi Kahin Dekha Hai,2003,4.8,232.0,145.0,Action|Comedy|Drama,0
Aarakshan,2011,6.2,4629.0,164.0,Drama,0
Aashayein,2010,7.1,1136.0,120.0,Drama,0
Aashiq (2001 film),2001,3.8,357.0,160.0,Action|Drama|Romance,0
Aashiq Banaya Aapne,2005,4.2,1396.0,115.0,Drama|Romance|Thriller,0
Aashiqui 2,2013,7.0,24878.0,132.0,Drama|Music|Musical,0
Aashiqui.in,2011,3.7,59.0,109.0,Drama|Romance,0
Aasma: The Sky Is the Limit,2009,3.8,41.0,240.0,Drama,0
Aazaan,2011,4.4,329.0,125.0,Action|Drama|Mystery,0
Ab Ke Baras,2002,3.4,182.0,130.0,Action|Romance|Thriller,0
Ab Tak Chhappan 2,2015,5.8,1194.0,106.0,Action|Crime|Thriller,0
Ab Tumhare Hawale Watan Saathiyo,2004,4.6,1312.0,193.0,Action|Drama|War,0
Accident on Hill Road,2010,3.9,274.0,105.0,Crime|Drama|Thriller,0
Acid Factory,2009,5.0,625.0,108.0,Action|Crime|Mystery,0
Action Jackson (2014 film),2014,3.2,2955.0,144.0,Action|Thriller,0
Action Replayy,2010,4.2,5094.0,129.0,Comedy|Romance|Sci-Fi,0
Adharm (2006 film),2006,5.1,7.0,130.0,Action,0
Adipurush,2023,3.4,131000.0,130.0,Action|Adventure|Drama,0
Ae Dil Hai Mushkil,2016,5.8,18998.0,158.0,Drama|Music|Musical,0
Aetbaar,2004,4.6,912.0,152.0,Action|Drama|Musical,0
Agent Vinod (2012 film),2012,5.1,6708.0,157.0,Action|Adventure|Thriller,0
Aggar (film),2007,4.0,259.0,130.0,Romance|Thriller,0
Agneepath (2012 film),2012,6.9,20827.0,174.0,Action|Drama,0
Agni Varsha,2002,4.6,333.0,130.0,Drama|Fantasy|Romance,0
Agnipankh,2004,5.4,88.0,130.0,Drama|Romance,0
Ahista Ahista (2006 film),2006,7.0,1290.0,122.0,Drama|Romance,0
Airlift (film),2016,8.0,49498.0,130.0,Drama|History,0
Aisa Kyon Hota Hai?,2006,4.3,15.0,130.0,Action|Crime|Drama,0
Aisa Yeh Jahaan,2015,7.0,42.0,120.0,Drama,0
Aitraaz,2004,6.6,9027.0,160.0,Drama|Romance|Thriller,0
Aiyaary,2018,5.2,3538.0,157.0,Action|Thriller,0
Aiyyaa,2012,4.3,1571.0,152.0,Comedy|Romance,0
Ajab Gazabb Love,2012,4.2,491.0,116.0,Comedy|Romance,0
Ajab Prem Ki Ghazab Kahani,2009,6.3,11190.0,150.0,Action|Comedy|Romance,0
Ajji,2017,7.0,602.0,104.0,Drama,0
Ajnabee (2001 film),2001,6.3,7480.0,165.0,Action|Crime|Drama,0
Akaash Vani,2013,6.2,1586.0,149.0,Drama|Romance,0
Akhiyon Se Goli Maare,2002,5.0,699.0,146.0,Comedy|Romance,0
Aks (2001 film),2001,5.9,1518.0,184.0,Action|Crime|Horror,0
Aksar,2006,4.8,1001.0,135.0,Drama|Romance|Thriller,0
Aksar 2,2017,3.7,363.0,127.0,Crime|Drama|Mystery,0
Aladin (film),2009,4.6,2540.0,132.0,Action|Adventure|Fantasy,0
Alag,2006,3.8,1076.0,123.0,Action|Drama|Fantasy,0
Albela (2001 film),2001,3.7,655.0,145.0,Drama|Romance,0
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,4.8,56.0,100.0,Drama,0
Alien,1979,8.5,1213.5,130.0,Horror|Sci-Fi,1
Aliens,1986,8.4,1213.5,130.0,Action|Adventure|Sci-Fi,1
Aligarh (film),2015,7.8,4873.0,114.0,Biography|Drama,0
All Is Well (2015 film),2015,3.8,1399.0,126.0,Adventure|Comedy|Drama,0
All the Best: Fun Begins,2009,6.1,5100.0,144.0,Action|Comedy|Drama,0
Allah Ke Banday,2010,6.2,281.0,123.0,Action|Crime|Drama,0
Alone (2015 Hindi film),2015,3.7,1465.0,133.0,Horror,0
Alone in the Dark,2005,2.4,47000.0,96.0,Action|Horror|Sci-Fi,0
Aloo Chaat (film),2009,5.8,860.0,130.0,Comedy|Drama|Romance,0
Always Kabhi Kabhi,2011,4.0,1230.0,126.0,Comedy|Crime|Drama,0
Amadeus,1984,8.4,1213.5,130.0,Biography|Drama|Music,1
Amavas,2019,2.8,235.0,134.0,Horror|Thriller,0
American Beauty,1999,8.3,1213.5,130.0,Drama,1
American History X,2000,8.5,1213.5,130.0,Crime|Drama,1
